pid,label,total_events,open_count,create_count,delete_count,encrypt_count,unique_files,open_ratio,delete_ratio,encrypt_ratio,events_per_ts
545031,0,585,585,0,0,0,499,1.0,0.0,0.0,36.5625
542114,0,25,25,0,0,0,1,1.0,0.0,0.0,0.002378234398782344
770,0,11,11,0,0,0,11,1.0,0.0,0.0,11.0
851,0,18,0,0,0,0,1,0.0,0.0,0.0,18.0
545039,0,213,143,0,0,0,88,0.6713615023474179,0.0,0.0,0.11716171617161716
545040,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
380,0,29,29,0,0,0,9,1.0,0.0,0.0,0.010006901311249138
1,0,4,4,0,0,0,3,1.0,0.0,0.0,4.0
549804,0,585,585,0,0,0,499,1.0,0.0,0.0,36.5625
547607,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664845688779334
542114,0,139,139,0,0,0,1,1.0,0.0,0.0,0.0022210859352529482
546258,0,5,5,0,0,0,1,1.0,0.0,0.0,0.0001249656344505261
546250,0,19,19,0,0,0,6,1.0,0.0,0.0,0.0003165927950144966
547400,0,128,128,0,0,0,4,1.0,0.0,0.0,0.0020631850419084463
547609,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664934459268142
549807,0,68,68,0,0,0,67,1.0,0.0,0.0,11.333333333333334
380,0,197,197,0,0,0,60,1.0,0.0,0.0,0.0033523355738960267
549808,0,1,1,0,0,0,1,1.0,0.0,0.0,1.0
549809,0,1,1,0,0,0,1,1.0,0.0,0.0,1.0
547606,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664934459268142
851,0,126,0,0,0,0,1,0.0,0.0,0.0,0.0022874986383936676
549811,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.11213434452871072
549812,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
1,0,33,33,0,0,0,20,1.0,0.0,0.0,0.0005762179151388161
547608,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664934459268142
546259,0,9,8,0,0,0,2,0.8888888888888888,0.0,0.0,0.00017996400719856028
546257,0,6,6,0,0,0,2,1.0,0.0,0.0,0.00010906513006016759
